b20_best_error,error_says_b20_better,lg_band,lg_best_error,lg_iters,trial_id,workload
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed0,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed1,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed2,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed3,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed4,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed5,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,True,diverged,4.0,2,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed6,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed7,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed8,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed9,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed10,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed11,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed12,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed13,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed14,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed15,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed16,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed17,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed18,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed19,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed20,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed21,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed22,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed23,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed24,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed25,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed26,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed27,w1-codegen-claude-agent-sdk-claude-haiku-4-5
8.0,False,oscillating,8.0,2,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed28,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed29,w1-codegen-claude-agent-sdk-claude-haiku-4-5
11.0,False,oscillating,11.0,2,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed30,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed31,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed32,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed33,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,True,diverged,4.0,2,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed34,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed35,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed36,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed37,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed38,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed39,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed40,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed41,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed42,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed43,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed44,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed45,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed46,w1-codegen-claude-agent-sdk-claude-haiku-4-5
0.0,False,converged,0.0,1,w1-codegen-claude-agent-sdk-claude-haiku-4-5-seed47,w1-codegen-claude-agent-sdk-claude-haiku-4-5
